Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Fragile and conflict affected situations,5.144323598,5.099520933,5.314641592,5.360217375,5.397426859,5.43652657,5.491044324,5.509152148,5.734009557,5.85482547,6.015135293,6.183610887,6.164989508,6.157720471,6.114415288,5.992302888,5.894880178,5.950119932,6.070774553,6.111393883,6.088800819,6.026783331,5.908712834,5.751007652,5.791066888,5.894258427,5.825866877,5.875108536
Finland,6.502999783,11.59500027,16.20100021,16.4260006,17.00499916,15.57199955,14.96700001,13.21399975,11.69299984,11.13399982,10.28999996,10.42300034,10.46899986,10.3579998,8.383999825,7.718999863,6.854000092,6.368999958,8.248999596,8.394000053,7.781000137,7.68900013,8.19299984,8.663000107,9.376000404,8.81799984,8.640000343,7.755000114
Fiji,3.687999964,3.86500001,3.960000038,4.110000134,4.144000053,4.124000072,4.031000137,3.838000059,4.118000031,4.145999908,4.147999763,4.157000065,4.071000099,4.063000202,3.885999918,3.834000111,3.75999999,3.624000072,4.157000065,4.352000237,4.40500021,4.515999794,4.356999874,4.532999992,4.547999859,4.318999767,4.143000126,4.15199995
France,9.133999825,10.20499992,11.3210001,12.59300041,11.83600044,12.36699963,12.56599998,12.07499981,11.98099995,10.21700001,8.609999657,8.701999664,8.305999756,8.913999557,8.493000031,8.447999954,7.657000065,7.063000202,8.736000061,8.87100029,8.81099987,9.399999619,9.920999527,10.29199982,10.35900021,10.05700016,9.397000313,9.180000305
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,16.93700027,17.21899986,17.78000069,17.63599968,17.61800003,17.66200066,17.21199989,17.10199928,17.68300056,17.62299919,17.39900017,17.4260006,17.51799965,17.3010006,16.90999985,17.02700043,17.35400009,17.81800079,19.27400017,20.38999939,20.38699913,20.1760006,20.11100006,19.91600037,19.98600006,19.62599945,19.37400055,19.48800087
United Kingdom,8.552000046,9.777000427,10.34799957,9.649999619,8.694000244,8.192000389,7.072000027,6.203000069,6.043000221,5.561999798,4.695000172,5.037000179,4.80700016,4.593999863,4.75,5.349999905,5.262000084,5.614999771,7.537000179,7.787000179,8.036999702,7.885000229,7.525000095,6.110000134,5.301000118,4.813000202,4.335000038,3.953999996
Georgia,2.700000048,5.400000095,5.400000095,8.399999619,7.599999905,11.5,11.5,14.52999973,13.80000019,10.81999969,11.15999985,12.59000015,11.51000023,12.61999989,13.81000042,13.56999969,13.27999973,17.87000084,18.29999924,17.40999985,17.34000015,17.21999931,16.94000053,14.61999989,14.07999992,13.97000027,13.93000031,14.10599995
Ghana,4.644000053,4.699999809,5.281000137,5.850999832,6.472000122,7.079999924,7.600999832,8.199999809,10.10000038,10.35999966,9.289999962,8.579999924,7.568999767,6.46999979,5.539000034,4.635000229,4.565000057,4.657000065,5.171999931,5.320000172,5.907999992,6.006000042,6.429999828,6.477000237,6.806000233,6.767000198,6.629000187,6.710000038
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,3.89199996,4.038000107,4.210000038,4.335999966,4.388000011,4.386000156,4.393000126,4.407999992,4.458000183,4.388000011,4.453999996,4.548999786,4.349999905,4.297999859,4.211999893,3.97300005,3.910000086,3.697999954,4.127999783,4.28399992,4.224999905,4.103000164,4.203000069,4.232999802,4.210999966,3.667999983,3.572000027,3.607000113
"Gambia, The",9.699999809,9.800999641,10.15999985,10.23700047,10.27499962,10.17599964,10.3210001,10.39299965,10.60900021,10.6260004,10.35700035,10.50699997,10.50800037,9.857999802,9.663999557,9.227000237,9.093999863,9.119999886,9.621999741,9.67800045,9.630000114,9.416999817,9.729000092,9.552000046,9.538999557,9.43599987,8.906000137,8.904999733
Guinea-Bissau,4.032000065,4.073999882,4.381000042,4.208000183,4.602000237,4.638999939,4.492000103,4.561999798,4.764999866,4.676000118,4.617000103,4.738999844,4.678999901,4.650000095,4.479000092,4.230999947,3.953000069,3.858999968,4.303999901,4.379000187,4.438000202,4.452000141,4.473999977,4.275000095,4.31799984,4.21999979,4.032999992,4.05700016
